best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
0,24,116,174,7,0,24
-8,92,104,160,0,8,None
-8,88,86,150,0,8,None
0,23,74,149,9,0,23
0,78,103,157,0,0,78
0,48,95,159,0,0,48
0,62,113,180,4,0,62
0,19,120,170,3,0,19
-11,89,81,144,0,11,None
-5,82,79,153,0,5,None
0,42,94,162,0,0,42
0,84,93,166,0,0,84
0,22,86,161,11,0,22
0,4,110,162,0,0,4
0,62,66,140,0,0,62
0,90,113,172,9,0,90
0,52,98,169,0,0,52
0,12,110,172,0,0,12
0,42,97,155,0,0,42
0,33,99,161,0,0,33
0,43,112,166,0,0,43
0,79,83,152,0,0,79
0,75,92,154,0,0,75
0,57,98,161,10,0,57
0,47,118,179,0,0,47
-11,93,95,152,0,11,None
0,16,90,174,0,0,16
-11,99,85,145,0,11,None
0,85,116,171,8,0,85
0,8,116,164,4,0,8
0,48,94,160,0,0,48
0,19,117,182,0,0,19
0,26,92,159,8,0,26
-15,89,93,160,2,15,None
-11,73,69,134,21,11,None
0,76,106,167,10,0,76
0,49,108,185,0,0,49
0,51,142,191,24,0,51
-5,31,99,172,0,5,None
0,51,87,167,4,0,51
0,51,76,150,0,0,51
0,42,132,178,26,0,42
0,50,91,151,0,0,50
0,11,77,156,0,0,11
0,21,109,191,0,0,21
0,16,102,176,0,0,16
0,29,109,154,0,0,29
0,23,130,181,14,0,23
0,64,102,172,0,0,64
-2,94,90,157,3,2,None
0,43,97,155,4,0,43
0,88,106,169,0,0,88
0,58,97,162,0,0,58
0,72,71,146,0,0,72
0,47,94,164,0,0,47
0,53,87,143,4,0,53
0,28,105,170,3,0,28
0,69,85,154,11,0,69
0,34,100,185,0,0,34
0,11,113,174,0,0,11
0,43,114,171,6,0,43
0,34,104,166,0,0,34
0,40,106,177,0,0,40
0,38,74,157,1,0,38
0,59,76,147,5,0,59
0,26,94,158,0,0,26
0,83,74,146,1,0,83
0,82,85,158,0,0,82
-15,87,67,135,0,15,None
0,90,94,154,0,0,90
0,25,85,162,0,0,25
0,17,106,176,0,0,17
0,40,124,175,25,0,40
0,33,107,173,0,0,33
-11,100,69,136,0,11,None
0,67,111,181,4,0,67
0,48,106,173,5,0,48
0,61,98,157,1,0,61
0,68,101,167,3,0,68
0,17,102,167,18,0,17
0,35,93,159,0,0,35
0,44,102,163,0,0,44
0,39,107,180,0,0,39
0,47,102,162,5,0,47
0,17,83,171,0,0,17
0,26,117,186,0,0,26
-15,96,99,167,8,15,None
-7,93,91,161,0,7,None
0,34,88,162,0,0,34
-25,100,125,180,0,25,None
-9,29,83,155,0,9,None
0,39,99,163,0,0,39
0,40,99,162,4,0,40
0,83,85,159,11,0,83
0,32,89,156,0,0,32
0,32,91,161,0,0,32
0,72,109,167,0,0,72
0,14,106,172,7,0,14
-14,57,98,165,0,14,None
0,4,119,167,13,0,4
