best_fitness,generation,wrong_actions,loops,dead_ends,distance
-5,319,114,87,5,0
-5,815,118,86,1,0
-6,391,140,89,0,0
-5,505,115,79,0,0
-7,175,148,95,4,0
-5,271,117,86,7,0
-6,1000,129,85,0,0
-6,24,123,73,10,0
-4,416,111,59,4,0
-5,399,119,86,0,0
-5,176,119,89,0,0
-5,123,117,87,0,0
-6,93,128,88,1,0
-6,365,122,88,3,0
-5,759,110,77,7,0
-5,170,114,71,2,0
-5,230,113,82,0,0
-5,800,118,81,0,0
-5,790,117,78,0,0
-5,9,119,75,0,0
-5,387,111,73,0,0
-5,148,117,76,0,0
-5,255,112,73,0,0
-6,689,117,92,0,0
-6,40,133,78,10,0
-5,464,111,73,0,0
-6,179,134,84,0,0
-5,651,116,70,10,0
-5,6,111,89,0,0
-5,18,107,70,0,0
-5,143,117,82,0,0
-5,586,113,71,2,0
-5,147,116,81,12,0
-5,155,117,77,10,0
-5,133,118,77,0,0
-5,70,106,77,0,0
-5,552,115,87,1,0
-5,798,112,78,1,0
-5,465,113,79,2,0
-5,14,99,83,0,0
-5,426,118,74,0,0
-5,150,116,81,0,0
-5,105,109,78,0,0
-5,979,106,80,0,0
-7,347,150,89,0,0
-6,993,126,89,0,0
-5,644,116,78,0,0
-5,885,119,89,4,0
-5,340,101,62,0,0
-12,338,115,71,0,7
